0.0800,1.2052,1.0240,-3.4180,-29.8462,82.0312,21.0000,-32.0000,23.0000
0.0942,1.4681,1.1761,-6.2256,-26.4893,68.1763,21.0000,-32.0000,23.0000
0.0795,1.8276,1.1010,-3.7842,-17.8833,36.9263,24.0000,-29.0000,17.0000
0.0253,2.2654,1.0647,0.9766,-14.0991,-2.8687,24.0000,-29.0000,17.0000
-0.0260,2.4307,1.1108,9.5825,-13.6108,-54.6875,24.0000,-29.0000,17.0000
-0.1890,2.5709,1.2296,35.0342,-9.0332,-114.5630,24.0000,-29.0000,17.0000
-0.3655,2.1472,1.3713,63.9038,0.4272,-172.1191,24.0000,-29.0000,17.0000
-0.5171,1.6118,1.5189,91.5527,19.2261,-211.3647,17.0000,-28.0000,26.0000
-0.7135,1.4458,1.4407,107.5439,42.4805,-246.5210,17.0000,-28.0000,26.0000
-0.9454,1.2242,1.2158,83.8013,61.4624,-286.4990,17.0000,-28.0000,26.0000
-1.1238,0.6458,0.7891,71.3501,67.1387,-305.9082,17.0000,-28.0000,26.0000
-1.1587,-0.3972,0.4797,65.7349,67.9321,-332.5195,17.0000,-28.0000,26.0000
-0.9473,-1.6332,0.4054,38.8794,59.8144,-333.6792,1.0000,-36.0000,23.0000
-0.8086,-2.1931,0.4924,-32.9590,45.3491,-303.7109,1.0000,-36.0000,23.0000
-0.3907,-3.1577,0.9197,-70.2515,36.4990,-237.2436,1.0000,-36.0000,23.0000
-0.0261,-3.5027,1.0989,-41.6260,41.9311,-140.1978,1.0000,-36.0000,23.0000
0.1510,-2.9933,0.8262,8.2397,45.7764,-47.5464,1.0000,-36.0000,23.0000
0.2217,-2.0309,0.4922,35.5225,39.7339,13.6108,0.0000,-41.0000,18.0000
0.2449,-1.2589,0.3004,38.4521,25.5737,43.8232,0.0000,-41.0000,18.0000
0.2605,-0.6522,0.2521,34.3628,17.6392,51.5747,0.0000,-41.0000,18.0000
0.2585,-0.0331,0.2664,23.7427,1.8921,54.6875,0.0000,-41.0000,18.0000
0.2787,0.1920,0.3003,16.6626,-12.3291,40.7715,0.0000,-41.0000,18.0000
0.3301,0.4209,0.3496,9.6436,-22.5220,19.1650,0.0000,-41.0000,18.0000
0.3180,0.4935,0.2020,4.5776,-33.5083,-4.6997,0.0000,-40.0000,17.0000
0.3289,0.3484,-0.0358,-2.6855,-51.7578,-26.0620,0.0000,-40.0000,17.0000
0.2856,0.2402,-0.2656,-14.8926,-78.8574,-41.5649,0.0000,-40.0000,17.0000
0.1976,0.2899,-0.4598,-29.9072,-113.9526,-56.5186,0.0000,-40.0000,17.0000
0.0736,0.3087,-0.7924,-32.0435,-135.0098,-64.2090,0.0000,-40.0000,17.0000
-0.3439,0.1938,-1.1544,-31.0059,-187.1338,-78.8574,-2.0000,-30.0000,24.0000
-0.7601,-0.2336,-0.9744,-26.3062,-252.9297,-90.0268,-2.0000,-30.0000,24.0000
-1.2482,-0.5479,-0.1366,-19.4092,-312.1948,-87.2803,-2.0000,-30.0000,24.0000
-1.4890,-0.9290,1.3660,-16.4795,-345.3369,-77.5757,-2.0000,-30.0000,24.0000
-1.5132,-1.1260,2.0876,-38.6963,-330.9326,-55.7861,-2.0000,-30.0000,24.0000
-1.4551,-1.3403,3.2416,-5.7983,-276.6724,-21.3013,-1.0000,-9.0000,26.0000
-1.0222,-1.1213,3.9999,19.2261,-185.3027,8.8501,-1.0000,-9.0000,26.0000
-0.8630,-0.5800,3.9999,-3.6621,-85.1440,20.9351,-1.0000,-9.0000,26.0000
-0.8046,-0.2638,3.7137,-17.4561,1.8921,18.3105,-1.0000,-9.0000,26.0000
-0.7345,-0.0990,2.8695,-29.4189,71.2280,12.2070,-1.0000,-9.0000,26.0000
-0.7869,0.0336,1.8153,-36.7432,106.2622,0.9155,-2.0000,-8.0000,30.0000
-0.6891,-0.0951,1.1523,-38.2080,112.4878,-4.8218,-2.0000,-8.0000,30.0000
-0.5446,-0.3112,0.7533,-31.3721,112.1826,-10.4370,-2.0000,-8.0000,30.0000
-0.4364,-0.4833,0.6884,-20.0195,101.1963,-7.6904,-2.0000,-8.0000,30.0000
-0.3906,-0.5364,0.7887,-20.9351,91.1865,-0.5493,-2.0000,-8.0000,30.0000
-0.3209,-0.6350,0.9720,-22.6440,91.6138,10.3760,0.0000,-16.0000,29.0000
-0.3079,-0.6025,0.8264,-10.2539,92.1020,25.2686,0.0000,-16.0000,29.0000
